Sentence Length /GLOVE,,,600,,,,,,,,110,,,,,,,,10,,,,,,,
,LOSS,LSTM,Accuracy ,,MEA,,Time,,Epoch,,Accuracy ,,MEA,,Time,,Epoch,,Accuracy ,,MEA,,Time,,Epoch,
,,,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std
300,sgd/Mean Asolute Error,512,0.8968978102,0,0.1032554,0.0001669813854,11:54:56,06:31:57,396.3,167.3253982,0.8968978102,0,0.1031674958,1.65E-05,00:51:18,00:07:48,500,0,0.8968978102,0,0.1032844274,3.25E-05,00:13:53,00:01:29,479.1,66.0916031
,,256,0.8968978102,0,0.1032212386,2.41E-05,07:54:08,03:17:12,500,0,0.8968978102,0,0.1032247762,2.32E-05,00:28:52,00:01:48,500,0,0.8968978102,0,0.1033150627,2.37E-05,00:11:57,6.79E-05,500,0
,,128,0.8968978102,0,0.1033019406,3.93E-05,05:31:38,02:01:09,500,0,0.8968978102,0,0.1033079121,3.97E-05,00:23:37,00:00:18,500,0,0.8968978102,0,0.1033930634,3.40E-05,00:11:38,00:00:23,500,0
,,64,0.8968978102,0,0.1035370638,0.0003888765414,04:54:47,03:34:57,454.9,142.6187225,0.8969890511,0.0002885289965,0.1033273934,0.0003294439362,00:21:26,00:06:22,500,0,0.8969890511,0.0002885289965,0.1033587819,0.0004473196975,00:10:24,00:01:13,500,0
,,-1,0.9069343066,0.02725712471,0.09397064647,0.02497402829,00:10:18,00:21:40,377.6,178.9737411,0.9068430657,0.02825178609,0.09359129088,0.02696295311,00:03:07,00:00:24,365.3,184.3053324,0.9060218978,0.02598541285,0.09515497044,0.02283586287,00:06:37,00:00:37,382.2,159.6613082
,Adam/Binary Crossentropy,512,0.977189781,0.02703222145,0.03510285178,0.04448465737,00:19:27,00:12:47,13.7,3.093002856,0.9844890511,0.002234935906,0.02483422865,0.007053817427,00:03:13,00:00:13,11.7,1.059349905,0.9847627737,0.003943229428,0.02020416366,0.007815797353,00:05:24,4.35E-05,11.7,0.9486832981
,,256,0.9850364963,0.004348191248,0.02423036014,0.009365844413,00:05:57,00:01:00,12,1.333333333,0.9849452555,0.003225852104,0.02396144123,0.008263495244,00:02:45,5.16E-05,12.1,1.449137675,0.9849452555,0.002828630659,0.01930118483,0.004909175451,00:05:15,2.89E-05,11.9,0.994428926
,,128,0.9851277372,0.004148980349,0.02537433905,0.007012140465,00:04:20,00:00:31,12.6,1.646545205,0.9843978102,0.003661022376,0.02651833469,0.008230553846,00:02:45,5.83E-05,12.7,1.418136492,0.9842153285,0.004470906342,0.02658379797,0.01151437928,00:05:23,3.70E-05,12.4,0.8432740427
,,64,0.984580292,0.003506151539,0.03953927525,0.01296381888,00:03:32,00:01:11,12.4,1.837873167,0.9812956205,0.005790581748,0.04329187842,0.01083370557,00:02:46,00:00:10,12.1,1.286683938,0.9817518248,0.008698509534,0.0373440148,0.02577415552,00:05:31,6.71E-05,12.7,1.418136492
,,-1,0.9768248175,0.0280966595,0.0562130666,0.0166246564,00:35:17,01:50:10,60.1,154.5656639,0.9770072993,0.02817424748,0.05454789896,0.01717567491,00:07:15,00:15:35,60.6,154.3907021,0.9585766423,0.02261759708,0.09952117992,0.008386078477,00:06:31,00:03:14,61.9,153.9425939
200,sgd/Mean Asolute Error,512,0.8968978102,0,0.1032345899,5.76E-05,04:35:33,01:18:28,434.5,109.1148732,0.8968978102,0,0.1032231134,6.73E-05,00:46:05,00:11:23,468.1,100.8766574,0.8968978102,0,0.1032673456,1.73E-05,00:15:40,00:00:40,500,0
,,256,0.8968978102,0,0.1032453211,3.27E-05,02:28:18,00:16:25,500,0,0.8968978102,0,0.1032444145,2.42E-05,00:29:18,00:01:57,500,0,0.8968978102,0,0.1033143375,1.91E-05,00:13:44,00:00:31,493.1,21.81971586
,,128,0.8968978102,0,0.1033280396,3.74E-05,01:46:15,00:02:59,500,0,0.8968978102,0,0.1033329202,4.08E-05,00:23:24,00:01:25,489.6,32.88768767,0.8968978102,0,0.1033853241,3.74E-05,00:12:52,00:00:44,500,0
,,64,0.8968978102,0,0.1034097951,9.74E-05,01:35:07,00:32:40,482.3,55.97231458,0.8968978102,0,0.1033786558,0.000173263182,00:21:59,00:06:31,479.8,63.87800874,0.8968978102,0,0.1034521021,0.0001244242142,00:11:38,00:01:24,481.3,59.13459225
,,-1,0.9031021898,0.01834322367,0.1023913155,0.001527602281,00:03:00,00:01:43,319.2,166.8157999,0.9059306569,0.02728578526,0.09476144019,0.02560679369,00:03:42,00:00:25,324.6,173.9196494,0.905839416,0.02827584039,0.09444504183,0.0271988239,00:08:04,00:00:42,381,169.1258571
,Adam/Binary Crossentropy,512,0.9756386861,0.02786143728,0.03348093628,0.0265975029,00:07:55,00:02:13,13.5,3.341656276,0.9822992701,0.002115879208,0.02652215574,0.008096041493,00:03:54,00:00:15,13,1.885618083,0.984580292,0.003344116049,0.02206908254,0.006055495952,00:06:28,3.75E-05,12.2,1.229272594
,,256,0.9815693431,0.004275251422,0.03526995949,0.01399991845,00:04:57,00:01:54,12.6,1.429840706,0.9824817518,0.003890091726,0.03248190705,0.008394992848,00:03:28,4.73E-05,12,0.9428090416,0.9850364963,0.002923507249,0.0241479227,0.009549560017,00:06:30,7.33E-05,12.8,1.751190072
,,128,0.979379562,0.006803413104,0.0440468183,0.01898903553,00:03:11,00:00:10,12,0.8164965809,0.978649635,0.01094214446,0.04674894383,0.02060677029,00:03:27,7.96E-05,12,1.699673171,0.9807481752,0.01060079552,0.03725523382,0.01934704076,00:06:37,3.77E-05,12.4,1.0749677
,,64,0.9789233577,0.008154595683,0.0520778945,0.02019320328,00:03:20,00:01:00,13.7,2.213594362,0.9781021898,0.00690864763,0.05410756201,0.01852408059,00:03:27,00:00:12,13.4,2.065591118,0.9753649635,0.01042970088,0.05509731633,0.0237756929,00:06:39,7.46E-05,13.5,2.121320344
,,-1,0.9732664234,0.0268745298,0.06707051214,0.01329792632,00:09:07,00:26:15,26.9,47.47736303,0.9738138686,0.02718253386,0.06550285759,0.01447935822,00:07:41,00:14:36,61.3,154.1521975,0.9392335766,0.01791153393,0.1158129498,0.01157139074,00:07:15,00:02:10,43.8,95.3284381
100,sgd/Mean Asolute Error,512,0.8968978102,0,0.1032174015,2.44E-05,04:02:52,00:32:05,495.9,12.96533841,0.8968978102,0,0.1032606593,1.40E-04,00:44:09,00:11:54,461,123.3288287,0.8968978102,0,0.1032717075,1.89E-05,00:17:07,00:00:30,500,0
