Sentence Length /GLOVE,,,600,,,,,,,,110,,,,,,,,10,,,,,,,
,LOSS,LSTM,Accuracy ,,MEA,,Time,,Epoch,,Accuracy ,,MEA,,Time,,Epoch,,Accuracy ,,MEA,,Time,,Epoch,
,,,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std
300,sgd/Mean Asolute Error,512,0.9142335766,0,0.08632591893,8.76E-05,04:01:23,00:46:41,100,0,0.9142335766,0,0.08632290281,0.0001001315891,00:20:03,00:03:36,100,0,0.9142335766,0,0.08660715326,0.0001093531304,00:01:48,00:00:20,100,0
,,256,0.9142335766,0,0.08657806941,0.0001263583716,01:43:52,00:12:03,100,0,0.9142335766,0,0.08660312013,0.0001667678648,00:26:53,00:20:32,100,0,0.9142335766,0,0.08690250079,0.0001484450153,00:00:54,00:00:04,100,0
,,128,0.9142335766,0,0.08707989319,0.0002201061112,01:09:00,00:02:39,100,0,0.9142335766,0,0.08710103888,0.0002543547108,00:11:38,00:01:44,100,0,0.9142335766,0,0.08740094956,0.0002170444636,00:00:45,00:00:02,100,0
,,64,0.9143248175,0.0002885289965,0.0876339869,0.0005576354862,00:57:04,00:20:10,100,0,0.9143248175,0.0002885289965,0.08755758563,0.0005600795876,00:08:37,00:02:43,100,0,0.9143248175,0.0002885289965,0.08793557331,0.0007673312008,00:00:39,00:00:09,100,0
,,-1,0.9194343066,0.01388441121,0.08575324019,0.0009190332497,00:03:49,00:08:55,91.3,27.51181564,0.9222627737,0.02250526072,0.07927618824,0.02143533807,00:03:05,00:00:30,91.1,28.14427118,0.922080292,0.02257256571,0.0790585925,0.02220361467,00:00:14,00:00:04,91.2,27.82804341
,Adam/Binary Crossentropy,512,0.9777372263,0.02169922114,0.03743179815,0.03530917547,00:28:52,00:06:36,12.6,1.837873167,0.9825729927,0.01268251823,0.02939324508,0.02940186631,00:04:41,00:00:25,12.1,1.852925615,0.9864963503,0.005604695608,0.01927325512,0.007178378259,00:00:27,00:00:03,12.1,0.994428926
,,256,0.9822080292,0.01999565764,0.02614223807,0.02956265696,00:12:39,00:01:41,12.3,1.059349905,0.988959854,0.001847486917,0.01665162706,0.003379317901,00:04:08,00:00:16,13,1.154700538,0.9875912409,0.002859527808,0.01646469815,0.00343457201,00:00:22,00:00:01,11.9,1.100504935
,,128,0.9870437956,0.00396078361,0.02013958549,0.009720025013,00:09:26,00:01:45,13.3,2.496664441,0.9864963504,0.005299306927,0.02060050947,0.006231981022,00:03:58,00:00:17,12.8,1.813529401,0.9875,0.00250981521,0.01959748735,0.003942906365,00:00:23,00:00:01,11.4,0.5163977795
,,64,0.986040146,0.006351279626,0.02736646345,0.013266788,00:11:30,00:05:22,14.4,4.168666187,0.9871350365,0.0025245141,0.02246673025,0.006456652315,00:08:05,00:11:20,14.1,2.601281735,0.9843065693,0.005878569079,0.03460010505,0.02020464812,00:00:26,00:00:02,12.4,2.011080417
,,-1,0.9820255474,0.02383562986,0.03205944537,0.01927211651,00:22:13,01:08:42,21.4,27.66144529,0.9817518248,0.02374990634,0.03283739932,0.01890323288,00:04:46,00:05:49,21,27.78088871,0.9700729927,0.01999820175,0.07925920498,0.005841216109,00:00:32,00:00:30,22.7,27.20314524
200,sgd/Mean Asolute Error,512,0.9142335766,0,0.08633074544,7.86E-05,03:27:14,00:38:55,100,0,0.9142335766,0,0.08635021968,6.65E-05,00:23:11,00:05:09,100,0,0.9142335766,0,0.08651779686,7.89E-05,00:01:53,00:00:14,100,0
,,256,0.9142335766,0,0.08659569138,0.0001287468061,01:25:41,00:13:16,100,0,0.9142335766,0,0.08660261819,0.0001018594191,00:17:32,00:01:26,100,0,0.9142335766,0,0.08679657065,0.0001422484689,00:01:19,00:00:04,100,0
,,128,0.9142335766,0,0.0870617416,0.0001932501084,00:49:40,00:02:07,100,0,0.9142335766,0,0.0870626826,0.0002084340165,00:14:39,00:00:39,100,0,0.9142335766,0,0.08733199004,0.0002606557255,00:01:11,00:00:03,100,0
,,64,0.9143248175,0.0002885289965,0.08749499423,0.0005636961961,00:41:55,00:15:53,100,0,0.9142335766,0,0.08754443499,0.0005577603998,00:12:15,00:02:56,100,0,0.9142335766,0,0.08774590635,0.0005948870875,00:01:10,00:00:15,100,0
,,-1,0.915419708,0.001220340787,0.09016050883,0.01323014227,00:03:07,00:06:02,91.1,28.14427118,0.9224452555,0.02340466303,0.07883337216,0.02255718784,00:04:11,00:00:59,92,25.29822128,0.9218978102,0.02295856065,0.07918414354,0.02171488402,00:00:43,00:00:03,91.1,28.14427118
,Adam/Binary Crossentropy,512,0.975729927,0.02151084144,0.05126808087,0.03372990371,00:43:58,00:57:37,14.6,3.949683532,0.9785583942,0.02318328339,0.03738183844,0.03144771398,00:05:38,00:00:30,12.9,2.282785822,0.9870437956,0.002780810062,0.01877848521,0.004802947396,00:00:54,00:00:04,12.2,1.549193338
,,256,0.9806569343,0.01441233642,0.03852527936,0.03133420461,00:11:45,00:01:42,14.5,1.779513042,0.9861313868,0.009519027449,0.02059862681,0.01649906302,00:06:11,00:02:26,14.3,2.110818693,0.9870437956,0.004275251435,0.021766129,0.008763734952,00:00:52,00:00:07,12.4,1.897366596
,,128,0.9864051095,0.002169836862,0.02576728913,0.008523742614,00:08:35,00:01:28,13.3,2.057506582,0.9873175183,0.003371662785,0.02061309052,0.007574800124,00:04:53,00:01:05,14.4,2.67498702,0.9846715329,0.009796775883,0.03303773454,0.02754582052,00:00:51,00:00:02,12.6,1.95505044
,,64,0.9842153285,0.01073605281,0.02974340426,0.01855944055,00:10:49,00:04:07,15.2,2.859681412,0.9848540146,0.005725521474,0.0361921951,0.01879419293,00:01:37,00:00:38,14.3,3.301514804,0.9790145986,0.00748694258,0.05481463652,0.02840426201,00:00:53,00:00:03,13.1,2.846049894
,,-1,0.9812956204,0.02357105016,0.03842736656,0.01693600419,00:19:01,00:57:17,21.5,27.59327615,0.9804744526,0.02329850452,0.0399109734,0.016518331,00:02:45,00:08:15,21,27.78488798,0.9491788321,0.01447158146,0.09931686109,0.009614743133,00:00:59,00:00:31,22.2,27.44206018
100,sgd/Mean Asolute Error,512,0.9142335766,0,0.08633505242,8.59E-05,03:18:47,01:44:11,100,0,0.9142335766,0,0.08633672641,9.44E-05,00:23:41,00:04:22,100,0,0.9142335766,0,0.08646033859,8.47E-05,00:02:29,00:00:14,100,0
,,256,0.9142335766,0,0.08657241342,0.0001376034533,01:20:48,00:13:26,100,0,0.9142335766,0,0.08657725971,0.0001440611207,00:10:16,00:01:17,100,0,0.9142335766,0,0.08674335937,0.0001907976913,00:01:59,00:00:06,100,0
,,128,0.9142335766,0,0.0870474139,0.0002919461693,00:44:14,00:01:03,100,0,0.9142335766,0,0.08703151875,0.0002514608585,00:05:47,00:00:34,100,0,0.9142335766,0,0.08718069385,0.0002620623066,00:02:13,00:00:07,100,0
,,64,0.9142335766,0,0.08742885996,0.0005332668491,00:34:15,00:12:33,100,0,0.9143248175,0.0002885289965,0.08754275043,0.0006007391931,00:04:18,00:01:26,100,0,0.9143248175,0.0002885289965,0.08766788392,0.0006373787191,00:02:09,00:00:19,100,0
,,-1,0.914689781,0.0004808816609,0.08971384398,0.01183325044,00:03:46,00:07:17,92,25.29822128,0.9208029197,0.01917650828,0.08177832319,0.01326723166,00:00:30,00:00:47,91.3,27.51181564,0.9208941606,0.02010545375,0.08288606197,0.009841363534,00:01:26,00:00:03,91.1,28.14427118
,Adam/Binary Crossentropy,512,0.9528284671,0.02373451728,0.08292854013,0.03687228053,00:17:38,00:03:50,13.6,2.221110833,0.963229927,0.02590359017,0.06061938619,0.03322362123,00:02:22,00:00:34,13.4,1.577621275,0.9802007299,0.005542460789,0.03689085342,0.01256013983,00:01:38,00:00:19,12.7,1.702938637
,,256,0.9634124088,0.0165549048,0.07966067652,0.04189550862,00:11:20,00:04:01,16,5.055250296,0.9754562044,0.01292811628,0.04402432115,0.01931180043,00:01:27,00:00:26,16.1,4.306326096,0.9808394161,0.01081288857,0.04062006847,0.02359932273,00:01:31,00:00:06,14.3,3.020301677
,,128,0.9786496351,0.009629167043,0.04392052021,0.01973416524,00:08:08,00:01:53,15.9,2.330951165,0.9776459854,0.01268105945,0.04190060326,0.0165459634,00:01:03,9.64E-05,16.1,2.282785822,0.9600364963,0.01597685374,0.06898625727,0.02629938046,00:01:32,00:00:09,12.8,3.293090409
,,64,0.9635036496,0.0237031238,0.07555665717,0.04229545542,00:08:42,00:03:14,14.7,3.591656999,0.9704379562,0.01470082778,0.05930822734,0.0280293573,00:01:21,00:00:30,15.6,2.716206505,0.948540146,0.01554490343,0.1056047494,0.03009756461,00:01:29,00:00:04,12.1,0.8755950358
,,-1,0.9749087591,0.02150675596,0.05641424103,0.0118080672,00:13:09,00:37:08,21.8,27.52695649,0.975729927,0.02171626558,0.05632794022,0.01205005454,00:02:06,00:05:26,22,27.46310657,0.9244525547,0.006590710503,0.1176598883,0.01357477783,00:01:39,00:00:42,23.6,27.07684538
50,Adam/Binary Crossentropy,512,0.9142335766,0,0.0863402446,8.08E-05,02:37:56,00:46:29,100,0,0.9142335766,0,0.08634228374,8.24E-05,00:16:44,00:03:08,100,0,0.9142335766,0,0.08649190124,7.99E-05,00:03:21,00:00:14,100,0
,,256,0.9142335766,0,0.08658574499,0.0001234257621,02:28:14,03:00:15,100,0,0.9142335766,0,0.08658593609,0.0001500540064,00:07:56,00:01:09,100,0,0.9142335766,0,0.08675685015,0.0001344089327,00:03:51,00:03:32,100,0
,,128,0.9142335766,0,0.08702526046,0.000195731654,00:41:15,00:02:32,100,0,0.9142335766,0,0.08702762174,0.0002000902162,00:05:11,00:00:13,100,0,0.9142335766,0,0.08723558783,0.0002462053655,00:02:28,00:00:04,100,0
,,64,0.9142335766,0,0.08751086202,0.0005111467249,00:34:44,00:12:45,100,0,0.9142335766,0,0.08752905619,0.0005568271691,00:04:43,00:01:31,100,0,0.9142335766,0,0.08770548393,0.0005843118153,00:02:20,00:00:12,100,0
,,-1,0.9153284671,0.003462347832,0.08833800568,0.00706018069,00:03:07,00:03:26,91.3,27.51181564,0.9155109489,0.004039405793,0.0938439823,0.02453816377,00:00:54,00:00:38,91.3,27.51181564,0.9199817518,0.01722093484,0.08402938023,0.006846199712,00:01:53,00:00:06,91.4,27.19558788
,sgd/Mean Asolute Error,512,0.9343978102,0.01973584182,0.1149031871,0.0459391702,00:15:42,00:05:35,14.6,2.547329757,0.9541970803,0.02324126387,0.07415202933,0.02668702281,00:02:24,00:00:25,15.7,2.668749187,0.9573905109,0.02054237207,0.07049969729,0.02702624313,00:01:55,00:00:04,13.3,2.750757471
,,256,0.9371350365,0.02424883516,0.1210773267,0.0448851147,00:15:42,00:16:39,14.9,2.685351208,0.9640510949,0.01253395646,0.06923704416,0.02125141111,00:01:37,00:00:12,15.5,3.40750805,0.9512773723,0.01775072162,0.0739518248,0.02028705305,00:01:52,00:00:02,12.4,1.505545305
,,128,0.9605839416,0.007928570216,0.07103488228,0.01237868276,00:06:58,00:00:41,15.9,2.282785822,0.9526459854,0.01590519201,0.09090218117,0.02930180343,00:01:19,6.13E-05,15,2.108185107,0.9533759124,0.02707137272,0.07796963842,0.02820740777,00:01:54,00:00:02,14.1,2.923088169
